description,go_BioProc,go_CellComp,go_MolFunc,proteinname
"TFIID subunit (40 kDa), involved in RNA polymerase II transcription initiation, similar to histone H3 with atypical histone fold motif of Spt3-like transcription factors","transcription, DNA-templated:regulation of transcription, DNA-templated:transcription from RNA polymerase II promoter:transcription initiation from RNA polymerase II promoter:RNA polymerase II transcriptional preinitiation complex assembly",nucleus:transcription factor TFIID complex,"transcription factor activity, RNA polymerase II core promoter sequence-specific binding involved in preinitiation complex assembly:chromatin binding:transcription coactivator activity:transcription factor binding:protein heterodimerization activity",Taf11p
Putative cysteine protease similar to mammalian caspases; involved in regulation of apoptosis upon H2O2 treatment; contributes to clearance of insoluble protein aggregates during normal growth; may be involved in cell cycle progression,proteolysis:misfolded or incompletely synthesized protein catabolic process:apoptotic process,nucleus:cytoplasm:cytosol,cysteine-type endopeptidase activity:calcium-dependent cysteine-type endopeptidase activity:peptidase activity:cysteine-type peptidase activity:hydrolase activity,Mca1p
"Subunit of the anaphase-promoting complex, which is an E3 ubiquitin ligase that regulates the metaphase-anaphase transition and exit from mitosis; required for activation of the daughter-specific gene expression and spore wall maturation",cell cycle:protein ubiquitination:regulation of mitotic metaphase/anaphase transition:ascospore wall assembly:anaphase-promoting complex-dependent catabolic process:cell division:meiotic cell cycle,nucleus:anaphase-promoting complex,molecular_function unknown,Swm1p
"Nucleolar protein, component of the small subunit processome complex, which is required for processing of pre-18S rRNA; has similarity to mammalian fibrillarin",box C/D snoRNA 3'-end processing:rRNA processing:tRNA processing:rRNA methylation:methylation:ribosome biogenesis:snoRNA processing:histone glutamine methylation,nucleus:nucleolus:ribosome:Cajal body:intracellular ribonucleoprotein complex:90S preribosome:box C/D snoRNP complex:small-subunit processome,RNA binding:methyltransferase activity:rRNA methyltransferase activity:transferase activity:histone-glutamine methyltransferase activity,Nop1p
Putative protein of unknown function,biological_process unknown,nucleus:cytoplasm,molecular_function unknown,YER079W
"Negative regulatory subunit of protein phosphatase 1 Ppz1p and also a subunit of the phosphopantothenoylcysteine decarboxylase (PPCDC; Cab3p, Sis2p, Vhs3p) complex, which catalyzes the third step of coenzyme A biosynthesis",regulation of mitotic cell cycle:response to salt stress:coenzyme A biosynthetic process:negative regulation of catalytic activity,nucleus:cytoplasm:phosphopantothenoylcysteine decarboxylase complex:CoA-synthesizing protein complex,catalytic activity:phosphopantothenoylcysteine decarboxylase activity:protein phosphatase inhibitor activity,Sis2p
"Multifunctional triacylglycerol lipase, steryl ester hydrolase, and Ca2+-independent phospholipase A2; catalyzes acyl-CoA dependent acylation of LPA to PA; required with Tgl3p for timely bud formation; phosphorylated and activated by Cdc28p",lipid metabolic process:triglyceride mobilization:phospholipid metabolic process:cell budding:metabolic process:lipid catabolic process:triglyceride catabolic process:sporulation resulting in formation of a cellular spore,lipid particle:membrane:integral component of membrane,sterol esterase activity:triglyceride lipase activity:hydrolase activity:lysophosphatidic acid acyltransferase activity:calcium-independent phospholipase A2 activity:retinyl-palmitate esterase activity,Tgl4p
"Carnitine acetyltransferase; has similarity to Yat1p, which is a carnitine acetyltransferase associated with the mitochondrial outer membrane",alcohol metabolic process:lipid metabolic process:fatty acid metabolic process:transport:carnitine metabolic process,cytoplasm:cytosol,"carnitine O-acetyltransferase activity:transferase activity:transferase activity, transferring acyl groups",Yat2p
"Transcriptional modulator involved in regulation of meiosis, silencing, and expression of RNR genes; required for nuclear localization of the ribonucleotide reductase small subunit Rnr2p and Rnr4p; contains WD repeats","transcription, DNA-templated:regulation of transcription, DNA-templated:protein import into nucleus:negative regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle:negative regulation of chromatin silencing at telomere:positive regulation of transcription from RNA polymerase II promoter:meiotic cell cycle:maintenance of protein location in nucleus:negative regulation of chromatin silencing at silent mating-type cassette",nucleus:cytoplasm,transcription corepressor activity:protein binding,Wtm1p
"Nitric oxide oxidoreductase, flavohemoglobin involved in nitric oxide detoxification; plays a role in the oxidative and nitrosative stress responses",response to stress:response to toxic substance:oxygen transport:cellular response to oxidative stress:nitric oxide catabolic process:oxidation-reduction process:cellular response to misfolded protein:cellular response to nitrosative stress:cellular response to reactive nitrogen species,nucleus:cytoplasm:mitochondrion:mitochondrial matrix:cytosol:cytoplasmic stress granule,iron ion binding:nitric oxide dioxygenase activity:oxidoreductase activity:nitric oxide reductase activity:oxygen binding:heme binding:metal ion binding:FAD binding,Yhb1p
Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and nucleus and is induced in response to the DNA-damaging agent MMS; YMR178W is not an essential gene,Mo-molybdopterin cofactor biosynthetic process:biological_process unknown:oxidation-reduction process,nucleus:cytoplasm,molecular_function unknown,YMR178W
"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data",biological_process unknown,cellular_component unknown:endoplasmic reticulum,molecular_function unknown,YEL068C
Protein involved in ER-to-Golgi transport,transport:ER to Golgi vesicle-mediated transport:UDP-glucose transport,endoplasmic reticulum:endoplasmic reticulum-Golgi intermediate compartment:membrane:integral component of membrane,molecular_function unknown:transporter activity,Sly41p
"Non-essential small GTPase of the Rho/Rac subfamily of Ras-like proteins, involved in the establishment of cell polarity and in microtubule assembly",actin filament organization:microtubule-based process:small GTPase mediated signal transduction:establishment of cell polarity:fungal-type cell wall organization,intracellular:plasma membrane:membrane:cell periphery,nucleotide binding:GTPase activity:GTP binding,Rho2p
"Flavin-linked sulfhydryl oxidase localized to the endoplasmic reticulum lumen, involved in disulfide bond formation within the ER",oxidation-reduction process,fungal-type vacuole:fungal-type vacuole membrane:mitochondrion:endoplasmic reticulum:endoplasmic reticulum membrane:membrane:integral component of membrane:integral component of endoplasmic reticulum membrane,protein disulfide isomerase activity:protein disulfide oxidoreductase activity:oxidoreductase activity:flavin-linked sulfhydryl oxidase activity:thiol oxidase activity:flavin adenine dinucleotide binding,Erv2p
Subunit of the histone deacetylase Rpd3L complex; possibly involved in cell fusion and invasive growth,"negative regulation of transcription from RNA polymerase II promoter:conjugation with cellular fusion:invasive growth in response to glucose limitation:transcription, DNA-templated:regulation of transcription, DNA-templated:covalent chromatin modification:histone deacetylation:negative regulation of chromatin silencing at telomere:negative regulation of chromatin silencing at silent mating-type cassette:negative regulation of chromatin silencing at rDNA:transfer RNA gene-mediated silencing:positive regulation of invasive growth in response to glucose limitation",nucleus:cytosol:Rpd3L complex:Rpd3L-Expanded complex:Clr6 histone deacetylase complex I'',histone deacetylase activity,Rxt2p
"3-hydroxyisobutyryl-CoA hydrolase, member of a family of enoyl-CoA hydratase/isomerases; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; phosphorylated; mutation affects fluid-phase endocytosis",valine catabolic process:fatty acid beta-oxidation:biological_process unknown:metabolic process:branched-chain amino acid catabolic process,mitochondrion,catalytic activity:3-hydroxyisobutyryl-CoA hydrolase activity:hydrolase activity,Ehd3p
Transaldolase of unknown function; transcription is repressed by Mot1p and induced by alpha-factor and during diauxic shift,chronological cell aging:carbohydrate metabolic process:pentose-phosphate shunt:biological_process unknown:cellular response to oxidative stress,nucleus:cytoplasm,catalytic activity:sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity:transferase activity,Nqm1p
Putative protein of unknown function; gene expression induced in response to ketoconazole; YPL272C is not an essential gene,alcohol metabolic process:biological_process unknown,cellular_component unknown,molecular_function unknown:alcohol O-acetyltransferase activity,Pbi1p
"Protein required for resistance to the antifungal drug ciclopirox olamine; not related to the subtelomerically-encoded COS family; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",signal transduction,mitochondrion,molecular_function unknown,Cos111p
"Hydrophilin of unknown function; stress induced (osmotic, ionic, oxidative, heat shock and heavy metals); regulated by the HOG pathway",response to stress:biological_process unknown,cytoplasm,molecular_function unknown,Gre1p
"Plasma membrane protein involved in zinc homeostasis and osmotin-induced apoptosis; transcription regulated by Zap1p, zinc and fatty acid levels; similar to mammalian adiponectins; deletion increases sensitivity to elevated zinc",negative regulation of transcription from RNA polymerase II promoter:lipid metabolic process:fatty acid metabolic process:cellular zinc ion homeostasis:response to toxic substance:response to zinc ion:cellular lipid metabolic process,fungal-type vacuole:plasma membrane:membrane:integral component of membrane,protein binding:metal ion binding,Izh2p
